producto,marca,sustancia_activa,categoria,ean,laboratorio,estatus
Amifarin 12 capsulas 500 mg,AMIFARIN,DICLOXACILINA,INFECTOLOGÍA,7503001007106,BTK FARMA,ACTIVO
Metronidazol 30 tabletas 500 mg,,METRONIDAZOL,GASTROENTEROLOGÍA,7501299370179,PHARMAGEN,ACTIVO
MEDIFLOW 20 TABLETAS 450/50MG 2X1,MEDIFLOW,"DIOSMINA, HESPERIDINA",CARDIOLOGÍA,7501033961908,ABBOTT,ACTIVO
Vertisal 1 suspension 250mg/180 ml,VERTISAL,METRONIDAZOL,GINECOLOGÍA,7501101620386,LABORATORIOS SILANES,ACTIVO
Algitrin tabletas 24,ALGITRIN,"IBUPROFENO, PARACETAMOL",ANALGÉSICOS,7501050612562,SANFER,ACTIVO
Bromuro pinaverio 14 tabletas 100mg,,BROMURO DE PINAVERIO,GASTROENTEROLOGÍA,7502216804982,AVIVIA PHARMA,ACTIVO
Chrisale 14 tabletas 5mg,CHRISALE,TADALAFIL,UROLOGÍA,7502216808652,ULTRA LABORATORIOS,ACTIVO
Dolocam plus 10 cápsulas 7.5/215mg,DOLOCAM PLUS,"MELOXICAM, METOCARBAMOL",REUMATOLOGÍA,7501250813639,RIMSA,ACTIVO
Gentamicina solución inyectable frasco 80mg/2ml,ANTIBIOTICOS DE MEXICO,GENTAMICINA,INFECTOLOGÍA,7501349025387,ANTIBIOTICOS DE MEXICO,ACTIVO
Eskazole 1 tableta 400mg,ESKAZOLE,ALBENDAZOL,SISTEMA DIGESTIVO,7501089801425,ARMSTRONG,ACTIVO
CLARITYNE UVA 60ML,CLARITYNE,LORATADINA,ALERGOLOGÍA,7502276040528,BAYER,ACTIVO
Prindex cof 20 tabletas caja dextrometorfano 15 mg,PRINDEX,"CLORFENAMINA, DEXTROMETORFANO, FENILEFRINA, PARACETAMOL",SISTEMA RESPIRATORIO,7501089801234,ARMSTRONG,ACTIVO
Oxolvan 20 comprimidos 30 mg,OXOLVAN,AMBROXOL,NEUMOLOGÍA,7501537102111,BRUDIFARMA,ACTIVO
Rofucal 25 mg oral 30 tabletas,ROFUCAL,HIDROCLOROTIAZIDA,CARDIOLOGÍA,7502213144012,SANFER,ACTIVO
Akabar 16 comprimidos 200mg,AKABAR,NIFUROXAZIDA,GASTROENTEROLOGÍA,7501070903510,CARNOT,ACTIVO
Butrew 40 tabletas 150mg,BUTREW,BUPROPIÓN,NEUROLOGÍA,7502222094704,INSTRUMENTACION MEDICA,ACTIVO
Zient 10 mg oral 14 tabletas,ZIENT,EZETIMIBA,CARDIOLOGÍA,7501050608688,ORGANON COMERCIALIZADORA,ACTIVO
Flagenase suspensión 250mg frasco 120ml,FLAGENASE,METRONIDAZOL,GINECOLOGÍA,7501299301111,LIOMONT RX,ACTIVO
Pediasure sabor fresa lata 900g,PEDIASURE,"ÁCIDO FÓLICO, VITAMINA C, VITAMINA E",SUPLEMENTO ALIMENTICIO,7501033957246,ABBOTT ANI (NUTRICIONALES),ACTIVO
Premone 62.5mg crema 43g,PREMONE,ESTRÓGENOS CONJUGADOS,GINECOLOGÍA,7501390914333,ITALMEX,ACTIVO
Aittaret 14 cápsulas 40mg,AITTARET,ATOMOXETINA,NEUROLOGÍA,7506384301151,SUN PHARMA DE MEXICO S.A. DE,ACTIVO
Histiacil fam jarabe adulto frasco 140ml,HISTIACIL FAM,"GUAIFENESINA, OXOLAMINA",NEUMOLOGÍA,7501165010673,SANOFI AVENTIS (CHC),ACTIVO
Novo herklin 2000 shampoo 100 ml solución frasco permetrina 5 g,HERKLIN,PERMETRINA,TRATAMIENTO CAPILAR,7501089810137,ARMSTRONG,ACTIVO
Vivitar 30 tabletas 100mg,VIVITAR,ESPIRONOLACTONA,CARDIOLOGÍA,7501089803153,ARMSTRONG,ACTIVO
Quimistren 30 tabletas 100mg/800 mcg,QUIMISTREN,"ÁCIDO FÓLICO, HIERRO",SUPLEMENTO ALIMENTICIO,7502223112353,LABORATORIOS QUIMPHARMA,ACTIVO
Visertral 1 solución 100mg/50 ml,VISERTRAL,CETIRIZINA,ALERGOLOGÍA,7501258205870,SERRAL,ACTIVO
Glicolic loción restauradora 60 ml loción botella,GLICOLIC,ÁCIDO GLICÓLICO,DERMOLIMPIADORES,7705849004020,ITALMEX,ACTIVO
Dersinet aerosol 100g,DERSINET,MINOXIDIL,TRATAMIENTO CAPILAR,7703281020400,ITALMEX,ACTIVO
Cicloferon xtrm color piel 5 mg 1 tubo 5 gr,CICLOFERON,"ACICLOVIR, LIDOCAÍNA",DERMATOLOGÍA,7501299355060,LIOMONT OTC,ACTIVO
Kriadex 30 tabletas 2mg,KRIADEX,CLONAZEPAM,NEUROLOGÍA,7501384502065,PSICOFARMA,ACTIVO
Fenazopiridina 20 tabletas 100mg,,FENAZOPIRIDINA,UROLOGÍA,7501384545659,PSICOFARMA,ACTIVO
Celestone ped 50mg/100ml solución 30ml,CELESTONE,BETAMETASONA,ENDOCRINOLOGÍA,7501050632348,ORGANON COMERCIALIZADORA,ACTIVO
Pk-merz 100 mg oral con 30 tabletas,PK-MERZ,AMANTADINA,NEUROLOGÍA,4008491317061,MERZ PHARMA,ACTIVO
Fycompa 28 comprimidos 4mg,FYCOMPA,PERAMPANEL,NEUROLOGÍA,7795367548120,GRUPO BIOTOSCANA DE ESPECIALIDAD SA DE CV,ACTIVO
Doxiciclina 10 tabletas 100mg,,DOXICICLINA,INFECTOLOGÍA,7502226291857,ALPHARMA,ACTIVO
Atisuril 60 tabletas 300mg,ATISURIL,ALOPURINOL,REUMATOLOGÍA,7501390914647,ITALMEX,ACTIVO
E-400 gelcaps 30 cápsulas,GELCAPS,TOCOFERSOLÁN,SUPLEMENTO ALIMENTICIO,7501130713523,GELCAPS,ACTIVO
Rivotril 2.50mg/1ml oral 10 ml gotas,RIVOTRIL,CLONAZEPAM,NEUROLOGÍA,7613326005074,ROCHE,ACTIVO
Acroxil 12 capsulas 500 mg,ACROXIL,AMOXICILINA,INFECTOLOGÍA,7502001163904,SON'S,ACTIVO
Vo-remi 5 ampolletas 50/25mg/1 ml,VO-REMI,"MECLIZINA, PIRIDOXINA",GASTROENTEROLOGÍA,7502004403502,OFFENBACH,ACTIVO
ANZANERA CLONAZEPAM 0.2 MG CON 100 TABLETAS,ANZANERA,CLONAZEPAM,NEUROLOGÍA,7501124185510,CARNOT,ACTIVO
Cortiment 30 tabletas caja budesónida 9 mg,CORTIMENT,BUDESONIDA,GASTROENTEROLOGÍA,7502275100018,FERRING,ACTIVO
Skin cap 200 ml spray botella piritionato de zinc 2 mg,SKIN-CAP,ZINC,CUIDADO DEL CABELLO,8470002456938,DERMACEUTICAL,ACTIVO
Regenesis max 30 cápsulas 250mg,REGENESIS MAX,"ÁCIDO FÓLICO, DHA, EPA",SUPLEMENTO ALIMENTICIO,7502235760139,EXELTIS,ACTIVO
Pradaxar 110 mg oral 30 capsulas,PRADAXAR,DABIGATRÁN,HEMATOLOGÍA,7501037950687,BOEHRINGER INGELHEIM MEXICO,ACTIVO
Synthroid 100mcg tabletas 30,SYNTHROID,LEVOTIROXINA SÓDICA,ENDOCRINOLOGÍA,7501033958984,ABBOTT,ACTIVO
Almax 12 sobres 1.5mg/15ml,ALMAX,ALMAGATO,SISTEMA DIGESTIVO,7502209291232,GRÜNENTHAL,ACTIVO
Tebonin od 240 mg oral 16 tabletas,TEBONIN OD,GINKGO BILOBA,SUPLEMENTO ALIMENTICIO,7501168870335,SCHWABE,ACTIVO
INDERALICI 50 TABLETAS 10MG,INDERALICI,PROPRANOLOL,CARDIOLOGÍA,5056227208250,MOKSHA8,ACTIVO
Ontracel 10 tabletas 20 mg,ONTRACEL,PAROXETINA,NEUROLOGÍA,7502227872628,RAAM,ACTIVO
Dutina supensión adulto 0 05%18g 140 dosis,DUTINA,MOMETASONA,ALERGOLOGÍA,7501300420442,SIEGFRIED RHEIN,ACTIVO
Lamblit 30 tabletas 500mg,LAMBLIT,METRONIDAZOL,GINECOLOGÍA,7501075713176,NOVAG,ACTIVO
Calutol 50 mg. 14 156,CALUTOL,BICALUTAMIDA,ONCOLOGÍA,7501871720156,ASOFARMA,ACTIVO
Lopresor r 30 tabletas 95mg,LOPRESOR R,METOPROLOL,CARDIOLOGÍA,7502216935228,SANDOZ,ACTIVO
Mensifem 60 tabletas 2.8mg,MENSIFEM,CIMICIFUGA RACEMOSA,GINECOLOGÍA,4029799161033,ITALMEX,ACTIVO
Altruline 14 cápsulas 100mg,ALTRULINE,SERTRALINA,NEUROLOGÍA,7501287688071,VIATRIS HEALTHCARE MEXICO S DE RL DE CV,ACTIVO
Valmetrol-3 sulución oral 30 ml frasco colecalciferol 2 mg,VALMETROL-3,COLECALCIFEROL,SUPLEMENTO ALIMENTICIO,7501446001444,VALDECASAS,ACTIVO
"Pediasure alimentación especializada líquida para niños de 1 a 10 años, fresa 237 ml botella",PEDIASURE,"ÁCIDO FÓLICO, ÁCIDO PANTOTÉNICO, VITAMINA A",SUPLEMENTO ALIMENTICIO,7501033956331,ABBOTT ANI (NUTRICIONALES),ACTIVO
Aeroflux solución frasco 120ml + pipeta,AEROFLUX,"AMBROXOL, SALBUTAMOL",NEUMOLOGÍA,7501070618995,SANFER,ACTIVO
Duloxetina 14 tabletas 60mg,,DULOXETINA,NEUROLOGÍA,7501384546007,PSICOFARMA,ACTIVO
Combesteral solución inyectable 3 ampolletas 1ml,COMBESTERAL,"CIANOCOBALAMINA, DEXAMETASONA, LIDOCAÍNA, PIRIDOXINA, TIAMINA",REUMATOLOGÍA,7501125139543,PISA,ACTIVO
ROLET CAJA CON 30 TABLETAS DE 80 MG,ROLET,TELMISARTÁN,CARDIOLOGÍA,7501300421678,SIEGFRIED RHEIN,ACTIVO
Cobedina 1 solucion 5/100mg/100/60 ml,COBEDINA,"BETAMETASONA, LORATADINA",ALERGOLOGÍA,780083148546,BRUDIFARMA,ACTIVO
Pradaxar 75mg capsula 60,PRADAXAR,DABIGATRÁN,HEMATOLOGÍA,7501034692160,BOEHRINGER INGELHEIM MEXICO,ACTIVO
Erbitrax-t 40 tabletas 250 mg,ERBITRAX-T,TERBINAFINA,DERMATOLOGÍA,7502211783671,LOEFFLER,ACTIVO
EMPERCROZ CABERGOLINA 0.5 MG 2 TABLETAS,EMPERCROZ,CABERGOLINA,GINECOLOGÍA,7502227873793,RAAM,ACTIVO
Casodex 28 tabletas 150mg,CASODEX,BICALUTAMIDA,ONCOLOGÍA,7501324472137,ASTRAZENECA,ACTIVO
Cefalver 12 capsulas 500 mg,CEFALVER,CEFALEXINA,INFECTOLOGÍA,7503000422863,MAVER,ACTIVO
Acnipop piel grasa jabón 90 gr barra,ACNIPOP,ÁCIDO SALICÍLICO,JABONES,7897473206632,GLENMARK,ACTIVO
Bredelin 7 tabletas 500mg,BREDELIN,LEVOFLOXACINO,INFECTOLOGÍA,7501314701612,LABORATORIOS SENOSIAIN S.A. DE,ACTIVO
Escitalopram 14 tabletas 10mg,ANTIBIOTICOS DE MEXICO,ESCITALOPRAM,NEUROLOGÍA,7501349024465,ANTIBIOTICOS DE MEXICO,ACTIVO
Mupirocina 1 ungüento 2% /15 g,,MUPIROCINA,INFECTOLOGÍA,7501258207584,SERRAL,ACTIVO
Bencilpenicilina procaínica 4 ampolletas 2ml,ANTIBIOTICOS DE MEXICO,BENCILPENICILINA PROCAÍNA,INFECTOLOGÍA,7501349022966,ANTIBIOTICOS DE MEXICO,ACTIVO
LYUMJEV KWIKPEN 1 PEN PACK 3 ML,LYUMJEV,INSULINA LISPRO,DIABETES,7501082243628,ELI LILLY,ACTIVO
Dorixina 10 tabletas 250mg,DORIXINA,CLONIXINATO DE LISINA,NEUROLOGÍA,7501300409713,SIEGFRIED RHEIN,ACTIVO
Sibicos 1 crema 1/100/20 g,SIBICOS,BIFONAZOL,ANTIMICÓTICOS,7502009746093,MAVER,ACTIVO
Cinitaprida 25 comprimidos 1mg,ANTIBIOTICOS DE MEXICO,CINITAPRIDA,GASTROENTEROLOGÍA,7501349027312,ANTIBIOTICOS DE MEXICO,ACTIVO
MILDA COLECALCIFEROL 5600 UI CON 4 CÁPSULAS,MILDA,COLECALCIFEROL,SUPLEMENTO ALIMENTICIO,7502235760375,EXELTIS,ACTIVO
Diflucan solución inyectable frasco 50ml,DIFLUCAN,FLUCONAZOL,INFECTOLOGÍA,7501287686473,PFIZER,ACTIVO
Koptin 3 tabletas 500mg,KOPTIN,AZITROMICINA,INFECTOLOGÍA,7501088507922,CHINOIN,ACTIVO
Conazol crema tubo 30gr,CONAZOL,KETOCONAZOL,ANTIMICÓTICOS,7501299303078,LIOMONT OTC,ACTIVO
Febrax 15 tabletas 275/300mg,FEBRAX,"NAPROXENO SÓDICO, PARACETAMOL",NEUROLOGÍA,7501300407047,SIEGFRIED RHEIN,ACTIVO
Zyprexa 14 tabletas 10mg,ZYPREXA,OLANZAPINA,NEUROLOGÍA,7501082212075,ELI LILLY,ACTIVO
Analgen nf gel tubo 30g,ANALGEN,"LIDOCAÍNA, NAPROXENO",ANALGÉSICOS,7501299309469,LIOMONT OTC,ACTIVO
Cinitaprida 25 comprimidos 1mg,,CINITAPRIDA,GASTROENTEROLOGÍA,7502216804722,AVIVIA PHARMA,ACTIVO
Salofalk supositorios 1 gr,SALOFALK,MESALAZINA,GASTROENTEROLOGÍA,7501168810751,SCHWABE,ACTIVO
Italdermol crema tubo 10g,ITALDERMOL,TRITICUM VULGARE,DERMATOLOGÍA,7501390911011,ITALMEX,ACTIVO
Ulsen 20mg emblistado capsula 14,ULSEN,OMEPRAZOL,SISTEMA DIGESTIVO,7501314704880,LABORATORIOS SENOSIAIN S.A. DE,ACTIVO
Gitrasek 12 cápsulas 33.3/166.6mg,GITRASEK,"ITRACONAZOL, SECNIDAZOL",GINECOLOGÍA,7501088509902,CHINOIN,ACTIVO
Criam 40 tabletas 200mg,CRIAM,VALPROATO DE MAGNESIO,NEUROLOGÍA,7501384504380,PSICOFARMA,ACTIVO
Ck2 10 tabletas 500/25/5/4 mg,CK-2,"CAFEÍNA, CLORFENAMINA, FENILEFRINA, PARACETAMOL",ANALGÉSICOS,7501825301493,DEGORT´S CHEMICAL,ACTIVO
Flexiver compuesto 10 capsulas 215/15 mg,FLEXIVER,"MELOXICAM, METOCARBAMOL",ANALGÉSICOS,7502009742095,MAVER,ACTIVO
Telmisartán 30 tabletas 40mg,,TELMISARTÁN,CARDIOLOGÍA,7502216798786,ULTRA LABORATORIOS,ACTIVO
Temitev 5mg tabletas 14,TEMITEV,NEBIVOLOL,CARDIOLOGÍA,7501559604037,LEMERY,ACTIVO
Rapix 10 mg oral 10 capsulas,RAPIX,KETOROLACO,NEUROLOGÍA,7501314703821,LABORATORIOS SENOSIAIN S.A. DE,ACTIVO
Diflucan 10 cápsulas 100mg,DIFLUCAN,FLUCONAZOL,INFECTOLOGÍA,7501287686428,PFIZER,ACTIVO
Lanoxin 0.25mg caja con 60 tabletas,LANOXIN,DIGOXINA,CARDIOLOGÍA,7502253073044,ASPEN,ACTIVO
Karet 50 comprimidos 100mcg,KARET,LEVOTIROXINA SÓDICA,ENDOCRINOLOGÍA,7501089803177,ARMSTRONG,ACTIVO
Dalacin c solución inyectable 600 mg ampolleta con 4 ml,DALACIN,CLINDAMICINA,INFECTOLOGÍA,300090775018,PFIZER,ACTIVO
Diosmina hesperidina 20 tabletas 450/50mg,ANTIBIOTICOS DE MEXICO,"DIOSMINA, HESPERIDINA",CARDIOLOGÍA,7501349029460,ANTIBIOTICOS DE MEXICO,ACTIVO
Prednisona 20 tabletas 5mg,ANTIBIOTICOS DE MEXICO,PREDNISONA,ENDOCRINOLOGÍA,7501349028494,ANTIBIOTICOS DE MEXICO,ACTIVO
Avapena 20 tabletas 25mg,AVAPENA,CLOROPIRAMINA,ALERGOLOGÍA,7502216930414,SANDOZ,ACTIVO
Medicor arnica 1 tubo pomada 28 gr,MEDICOR,ÁRNICA,ANALGÉSICOS,7501581100255,MEDICOR,ACTIVO
Magnil 3 ampolletas 1g/2 ml,MAGNIL,METAMIZOL SÓDICO,ANALGÉSICOS,7502001160064,SON'S,ACTIVO
Farmiver suspensión 200/400mg 20ml,FARMIVER,"ALBENDAZOL, QUINFAMIDA",SISTEMA DIGESTIVO,7502006921974,DEPOFARMA S A,ACTIVO
Rosuvastatina 30 tabletas 10 mg,ANTIBIOTICOS DE MEXICO,ROSUVASTATINA,CARDIOLOGÍA,7501349024588,ANTIBIOTICOS DE MEXICO,ACTIVO
ETORICOXIB 120 MG C/7 TABS TEMPUS,TEMPUS PHARMA,ETORICOXIB,REUMATOLOGÍA,7501249601018,INVESTIGACIÓN FARMACÉUTICA,ACTIVO
Tritace 5 mg oral 16 tabletas,TRITACE,RAMIPRIL,CARDIOLOGÍA,7501165001237,SANFER,ACTIVO
Serc 16mg 40 tabletas 2 cajas con 20 tabletas c/u,SERC,BETAHISTINA,NEUROLOGÍA,7501033961786,ABBOTT,ACTIVO
Rovartal nf 30 comprimidos 20mg,ROVARTAL NF,ROSUVASTATINA,CARDIOLOGÍA,7501300420084,SIEGFRIED RHEIN,ACTIVO
Kitoscell q 3.5 g gel tubo fenil metil piridona 8.0 g,KITOSCELL-Q,"DIALIL ÓXIDO DE DISULFURO MODIFICADO, PIRFENIDONA",DERMATOLOGÍA,7502224228565,CELL PHARMA,ACTIVO
Norutec 28 tabletas 20mg,NORUTEC,ILAPRAZOL,GASTROENTEROLOGÍA,7501088513770,CHINOIN,ACTIVO
Bojidar 90mg comprimidos con 14,BOJIDAR,ETORICOXIB,REUMATOLOGÍA,7501125189012,PISA,ACTIVO
Cilocid 20 tabletas 5mg,CILOCID,ÁCIDO FÓLICO,SUPLEMENTO ALIMENTICIO,7502208892355,BRUDIFARMA,ACTIVO
Terfamex 30 cápsulas 30mg,TERFAMEX,FENTERMINA,GASTROENTEROLOGÍA,7501293201226,MEDIX,ACTIVO
Pulmicort turbuh 100mcg oral 200 dos polvo,PULMICORT,BUDESONIDA,NEUMOLOGÍA,7501098600798,ASTRAZENECA,ACTIVO
REUTRICAM PIROXICAM CREMA 30 GR,REUTRICAM,PIROXICAM,REUMATOLOGÍA,7501836000675,LIFERPAL,ACTIVO
Co aprovel 28 tabletas 150mg,CO-APROVEL,"HIDROCLOROTIAZIDA, IRBESARTÁN",CARDIOLOGÍA,7501328979267,SANOFI PASTEUR,ACTIVO
Zapex 30 mg oral 10 tabletas,ZAPEX,MIRTAZAPINA,NEUROLOGÍA,7503006916465,SUN PHARMA DE MEXICO S.A. DE,ACTIVO
LAGINYL OD 16MG TAB C14,LAGINYL,GALANTAMINA,NEUROLOGÍA,7506384301045,SUN PHARMA DE MEXICO S.A. DE,ACTIVO
Nordiver 10 tabletas 5 mg,NORDIVER,AMLODIPINO,CARDIOLOGÍA,7502009744136,MAVER,ACTIVO
Alzam 30 tabletas 0.5mg,ALZAM,ALPRAZOLAM,NEUROLOGÍA,7501384502201,PSICOFARMA,ACTIVO
Sifrol er 30 tabletas caja pramipexol 3 mg,SIFROL ER,PRAMIPEXOL,NEUROLOGÍA,7501037907681,BOEHRINGER INGELHEIM MEXICO,ACTIVO
Pradaxar 150 mg oral 30 capsulas,PRADAXAR,DABIGATRÁN,HEMATOLOGÍA,7501037965155,BOEHRINGER INGELHEIM MEXICO,ACTIVO
Amixbru 1 suspensión 100 mg/5ml,AMIXBRU,CEFIXIMA,INFECTOLOGÍA,7502208894601,BRUDIFARMA,ACTIVO
Amcef im solución inyectable 1 ampolleta 3.5ml,AMCEF,CEFTRIAXONA,INFECTOLOGÍA,7501349012004,ANTIBIOTICOS DE MEXICO,ACTIVO
Cafiaspirina 40 tabletas caja ácido acetilsalicílico 500 mg,CAFIASPIRINA,"ÁCIDO ACETILSALICÍLICO, CAFEÍNA",ANALGÉSICOS,7501008433676,BAYER,ACTIVO
Libertrim trimebutina 100 mg con 20 comprimidos,LIBERTRIM,TRIMEBUTINA,GASTROENTEROLOGÍA,7501070903497,CARNOT,ACTIVO
CETIRIZINA SBL 10 TABLETAS 10MG,,CETIRIZINA,ALERGOLOGÍA,7257427600280,SBL,ACTIVO
Taedallis 4 tabletas 20 mg,TAEDALLIS,TADALAFIL,UROLOGÍA,7502216935273,SANDOZ,ACTIVO
Simlo 20 tabletas 20 mg,SIMLO,SIMVASTATINA,CARDIOLOGÍA,656599041124,VICTORY,ACTIVO
Dimefor 30 tabletas 500mg,DIMEFOR,METFORMINA,DIABETES,7501300408082,SIEGFRIED RHEIN,ACTIVO
Miconazol crema 2% tubo 20g,,MICONAZOL,DERMATOLOGÍA,7503004908714,ALPHARMA,ACTIVO
Decorex 10 tabletas 4mg,DECOREX,DEXAMETASONA,ENDOCRINOLOGÍA,7501125177569,PISA,ACTIVO
VOLTAREN EMULGEL 12H 100G,VOLTAREN,DICLOFENACO,ANALGÉSICOS,7501065084620,HALEON,ACTIVO
Alin 30 tabletas 0.75 mg,ALIN,DEXAMETASONA,ENDOCRINOLOGÍA,7501088505706,CHINOIN,ACTIVO
Bristaflam 40 comprimidos 100mg,BRISTAFLAM,ACECLOFENACO,REUMATOLOGÍA,8430308001577,GRÜNENTHAL,ACTIVO
Inhepar inyectable frasco ámpula 1000ui 10ml,INHEPAR,HEPARINA,HEMATOLOGÍA,7501125115585,PISA,ACTIVO
Hyzaar 30 tabletas 100/25mg,HYZAAR,"HIDROCLOROTIAZIDA, LOSARTÁN",CARDIOLOGÍA,7501326000994,ORGANON COMERCIALIZADORA,ACTIVO
QUETIAPINA CAMBER 30 TABLETAS 100MG,,QUETIAPINA,NEUROLOGÍA,7506442700872,CAMBER,ACTIVO
Novolin r 100ui ampolleta 10ml,NOVOLIN R,INSULINA HUMANA,DIABETES,7503007822000,NOVO NORDISK,ACTIVO
Motrin 10 tabletas 600mg,MOTRIN,IBUPROFENO,REUMATOLOGÍA,7501287627643,PFIZER,ACTIVO
Ceftrex im pack 5 viales 1g,CEFTREX,CEFTRIAXONA,INFECTOLOGÍA,7501300420831,SIEGFRIED RHEIN,ACTIVO
Neurontin 300 mg oral 30 capsulas,NEURONTIN,GABAPENTINA,NEUROLOGÍA,7501287652713,VIATRIS HEALTHCARE MEXICO S DE RL DE CV,ACTIVO
Amoxiclav bid suspensión 400/57.14mg 70ml,AMOXICLAV,"ÁCIDO CLAVULÁNICO, AMOXICILINA",INFECTOLOGÍA,7501125175596,PISA,ACTIVO
Andromaco pomada pasta de lassar 125 gr tarro,PASTA DE LASSAR ANDRÓMACO,ÓXIDO DE ZINC,CUIDADO DEL BEBÉ,7501289511407,ANDROMACO,ACTIVO
Oxolvan 1 solucion 300 mg/120 ml,OXOLVAN,AMBROXOL,NEUMOLOGÍA,7501537101886,BRUDIFARMA,ACTIVO
Premagnol 20 tabletas 5 mg,PREMAGNOL,PREDNISONA,ENDOCRINOLOGÍA,7501342800929,ALLEN,ACTIVO
Atemperator 10 tabletas 400mg,ATEMPERATOR,VALPROATO DE MAGNESIO,NEUROLOGÍA,7501089800046,ARMSTRONG,ACTIVO
Analgen 20 tabletas 220mg,ANALGEN,NAPROXENO SÓDICO,ANALGÉSICOS,7501299309438,LIOMONT OTC,ACTIVO
Berniver 2% 1 ung 15 g,BERNIVER,MUPIROCINA,INFECTOLOGÍA,7502009745836,MAVER,ACTIVO
Clopixol 20 tabletas 25mg,CLOPIXOL,ZUCLOPENTIXOL,NEUROLOGÍA,7503003746096,LUNDBECK MEXICO,ACTIVO
Vimpat 10 mg/ml jbe 200 ml,VIMPAT,LACOSAMIDA,NEUROLOGÍA,7501088507069,UCB DE MEXICO S.A. DE C.V.,ACTIVO
ALEMAP LEVETIRACETAM 1 G CON 30 TABLETAS,ALEMAP,LEVETIRACETAM,NEUROLOGÍA,7502227876435,RAAM,ACTIVO
Cicloferon suspensión frasco 125ml,CICLOFERON,ACICLOVIR,INFECTOLOGÍA,7501299301234,LIOMONT RX,ACTIVO
Magoz 2 tabletas 2.5 mg,MAGOZ,ZOLMITRIPTANO,NEUROLOGÍA,7502009746390,MAVER,ACTIVO
VOLTAREN DOLO 25 MG CÁPSULA C10,VOLTAREN DOLO,DICLOFENACO,ANALGÉSICOS,7501065024695,HALEON,ACTIVO
Koptin 4 tabletas 500mg,KOPTIN,AZITROMICINA,INFECTOLOGÍA,7501088508028,CHINOIN,ACTIVO
Atacand 14 tabletas 32mg,ATACAND,CANDESARTÁN CILEXETILO,CARDIOLOGÍA,7501098606035,ASTRAZENECA,ACTIVO
Subsalicilato de bismuto 262 mg itamol tabletas masticables 24 tabletas caja,ITAMOL,SUBSALICILATO DE BISMUTO,SISTEMA DIGESTIVO,785118752637,MAVI FARMACEUTICA,ACTIVO
Nemoril 30 capsulas 40 mg,NEMORIL,GINKGO BILOBA,SUPLEMENTO ALIMENTICIO,7503002047637,GELPHARMA,ACTIVO
Broncho-vaxom infantil liofizados bacterianos 3.5 mg con 30 cápsulas,BRONCHO VAXOM,LIOFILIZADO ESTANDARIZADO DE LISADOS BACTERIANOS,INFECTOLOGÍA,7502209290198,GRÜNENTHAL,ACTIVO
Eni 14 tabletas 500mg,ENI,CIPROFLOXACINO,INFECTOLOGÍA,7501123012923,BAUSCH HEALTH,ACTIVO
Tribedoce dx 3 ampolletas 1ml,TRIBEDOCE DX,"CIANOCOBALAMINA, DEXAMETASONA, LIDOCAÍNA, PIRIDOXINA, TIAMINA",REUMATOLOGÍA,7501537100452,BRUDIFARMA,ACTIVO
Lomecan v tratamiento vaginal topica 2% 20 gr crema tubo,LOMECAN,CLOTRIMAZOL,GINECOLOGÍA,650240011153,GENOMMA LAB,ACTIVO
Fossin 30 cápsulas 500mg,FOSSIN,FOSFOMICINA,INFECTOLOGÍA,7501300450333,WESER PHARMA,ACTIVO
QUETIAPINA CAMBER 30 TABLETAS 25MG,,QUETIAPINA,NEUROLOGÍA,7506442700889,CAMBER,ACTIVO
Tramadol 5 frasco con ampula 100mg/2 ml,ANTIBIOTICOS DE MEXICO,TRAMADOL,NEUROLOGÍA,7501349020009,ANTIBIOTICOS DE MEXICO,ACTIVO
Pioglitazona lansc 15mg tabletas 7,PLAGOX,PIOGLITAZONA,DIABETES,7502247375505,LANDSTEINER,ACTIVO
Rilover 25 tabletas 1 mg,RILOVER,CINITAPRIDA,GASTROENTEROLOGÍA,7502009745874,MAVER,ACTIVO
Dolver 20 tabletas 600 mg,DOLVER,IBUPROFENO,REUMATOLOGÍA,7502009745652,MAVER,ACTIVO
Salofalk 250mg supositorio 30,SALOFALK,MESALAZINA,GASTROENTEROLOGÍA,7501168810706,SCHWABE,ACTIVO
Theraflu daytime sabor frutos del bosque paracetamol 650mg 6 sobres,THERAFLU,"DEXTROMETORFANO, FENILEFRINA, PARACETAMOL",SISTEMA RESPIRATORIO,7501065010445,HALEON,ACTIVO
Virazide 1 crema 7.5%/5 g,VIRAZIDE,RIBAVIRINA,DERMATOLOGÍA,7501123018314,BAUSCH HEALTH,ACTIVO
Bolentax 2 jeringas prellenadas 40mg/0.2ml,BOLENTAX,ENOXAPARINA DE SODIO,HEMATOLOGÍA,7501125152863,PISA,ACTIVO
Vick 44 jarabe todo tipo de tos frasco 120 ml,VICK,"DEXTROMETORFANO, GUAIFENESINA",SISTEMA RESPIRATORIO,7501001116187,PROCTER & GAMBLE,ACTIVO
Angiotrofin 30 comprimidos 60mg,ANGIOTROFIN,DILTIAZEM,CARDIOLOGÍA,7501089802026,ARMSTRONG,ACTIVO
Jarsix 10 tabletas 5/0.25mg,JARSIX,"BETAMETASONA, LORATADINA",ALERGOLOGÍA,7501314703661,LABORATORIOS SENOSIAIN S.A. DE,ACTIVO
Vilona 1 solucion 100mg/120 ml,VILONA,RIBAVIRINA,INFECTOLOGÍA,7501122969310,BAUSCH HEALTH,ACTIVO
