producto,marca,sustancia_activa,categoria,ean,laboratorio,estatus
Elicuis 60 tabletas 2.5 mg,ELICUIS,APIXABÁN,HEMATOLOGÍA,8027950210527,PFIZER,ACTIVO
Merrem iv 10 ampolletas 1gr,MERREM,MEROPENEM,GINECOLOGÍA,7501287630995,PFIZER,ACTIVO
Árnica nártex 30 tab,ARNICA NÁRTEX,ÁRNICA,ANALGÉSICOS,7501358170306,NARTEX LAB,ACTIVO
Reduprec 30 tabletas 25 mg,REDUPREC,CAPTOPRIL,CARDIOLOGÍA,7502216790230,ULTRA LABORATORIOS,ACTIVO
Invictus 20mg tabletas 4,INVICTUS,TADALAFIL,UROLOGÍA,7501300421289,SIEGFRIED RHEIN,ACTIVO
Nosipren 30 tabletas 5 mg,NOSIPREN,PREDNISONA,ENDOCRINOLOGÍA,780083142339,COLLINS,ACTIVO
Septacin solucion pediatrico 1 fco 30 ml,SEPTACIN,AMBROXOL,NEUMOLOGÍA,7501088563454,CHINOIN,ACTIVO
EXCEDRIN MIGRAÑA 48 TABS,EXCEDRIN,"ÁCIDO ACETILSALICÍLICO, CAFEÍNA, PARACETAMOL",ANALGÉSICOS,7501065027481,HALEON,ACTIVO
Weserix 60mg tabletas con 28,WESERIX,ETORICOXIB,REUMATOLOGÍA,7501300450456,WESER PHARMA,ACTIVO
Everest 10 tabletas masticables 4mg,EVEREST,MONTELUKAST,NEUMOLOGÍA,7501299330210,LIOMONT RX,ACTIVO
Dolflam 1 gel 60g/100 mg,DOLFLAM,DICLOFENACO,ANALGÉSICOS,7502003381559,RAYERE,ACTIVO
Benzac ac gel 10% 60g,BENZAC,PERÓXIDO DE BENZOILO,DERMATOLOGÍA,3499320001335,GALDERMA,ACTIVO
Lamictal 100 mg oral 14 tabletas dispersables,LAMICTAL,LAMOTRIGINA,NEUROLOGÍA,7501046429716,GLAXOSMITHKLINE,ACTIVO
Ganglioside 20 tabletas 5mg,GANGLIOSIDE,TIAMAZOL,ENDOCRINOLOGÍA,7501089803320,ARMSTRONG,ACTIVO
Dolo neurobion 10 tabletas,DOLO-NEUROBIÓN,"CIANOCOBALAMINA, DICLOFENACO SÓDICO, PIRIDOXINA, TIAMINA",ANALGÉSICOS,7501298223711,PROCTER & GAMBLE,ACTIVO
Biperideno 50 tabletas 2 mg,,BIPERIDENO,NEUROLOGÍA,7501384543969,PSICOFARMA,ACTIVO
Tabcin 50 mg tabletas 60,TABCIN,"ÁCIDO ACETILSALICÍLICO, CLORFENAMINA, FENILEFRINA",SISTEMA RESPIRATORIO,7501008485378,BAYER,ACTIVO
Irbesartán 28 tabletas 300mg,ANTIBIOTICOS DE MEXICO,IRBESARTÁN,CARDIOLOGÍA,7501349020542,ANTIBIOTICOS DE MEXICO,ACTIVO
Debromu 30 tabletas 40mg,DEBROMU,BROMURO DE OTILONIO,GASTROENTEROLOGÍA,7501385494246,A MENARINI MEXICO S A DE C V,ACTIVO
Cefuracet 10 tabletas 500mg,CEFURACET,CEFUROXIMA,INFECTOLOGÍA,7501300409034,WESER PHARMA,ACTIVO
Ilosone líquido suspensión 125mg 120ml,ILOSONE,ERITROMICINA,INFECTOLOGÍA,7501082203110,SANFER,ACTIVO
Fenitron 50 tabletas 100mg,FENITRON,FENITOÍNA SÓDICA,NEUROLOGÍA,7501384504328,PSICOFARMA,ACTIVO
Ovestin 1 crema 1mg/1g 15 g,OVESTIN,ESTRIOL,GINECOLOGÍA,7502209852839,ASPEN,ACTIVO
IBUPROFENO 800 MG CON 20 TABLETAS,,IBUPROFENO,ANALGÉSICOS,9780201379664,SELECCIÓN PRIXZ,ACTIVO
Enersoy vainilla 1 polvo 500 g,ENERSOY,"HIERRO, VITAMINA C, VITAMINA E",SUPLEMENTO ALIMENTICIO,714908107425,SALUD NATURAL,ACTIVO
Toujeo 300u/ml pluma prellenada 1x1.5ml,TOUJEO,INSULINA GLARGINA,ENDOCRINOLOGÍA,7501165010635,SANOFI PASTEUR,ACTIVO
